"","plot","tag","dbh1","year_dbh1","dbh2","year_dbh2","delta_dbh"
"1","ANN01","826",10.75,2004,8.9,2014,-1.85
"2","ANN01","822",22.5,2004,25.5,2014,3
"3","ANN01","844",10,2004,10.5,2014,0.5
"4","ANN01","828",17,2004,16.7,2014,-0.300000000000001
"5","ANN01","836",6.5,2004,10.7,2014,4.2
"6","ANN01","884",9.25,2004,6.4,2014,-2.85
"7","ANN01","1984",3.8,2012,4,2014,0.2
"8","ANN01","862",12,2004,13.5,2014,1.5
"9","ANN01","4541",2.5,2006,3.5,2014,1
"10","ANN01","889",13.5,2004,14.5,2014,1
"11","ANN01","812",11,2004,11.5,2014,0.5
"12","ANN01","4540",2,2006,3.8,2014,1.8
"13","ANN01","834",17,2004,19,2014,2
"14","ANN01","875",24,2004,26,2014,2
"15","ANN01","815",9.5,2004,9.4,2014,-0.0999999999999996
"16","ANN01","879",7,2004,8.2,2014,1.2
"17","ANN01","887",16,2004,18,2014,2
"18","ANN01","816",1.25,2004,3,2014,1.75
"19","ANN01","900",13.25,2004,14,2014,0.75
"20","ANN01","841",22.75,2004,26.4,2014,3.65
"21","ANN01","838",3.5,2004,4.5,2014,1
"22","ANN01","807",20.5,2004,21.9,2014,1.4
"23","ANN01","832",11,2004,12.3,2014,1.3
"24","ANN01","827",10.5,2004,9,2014,-1.5
"25","ANN01","809",1.75,2004,4,2014,2.25
"26","ANN01","814",1.75,2004,2,2014,0.25
"27","ANN02","227",20,2004,20.4,2014,0.399999999999999
"28","ANN02","1496",18,2005,14,2014,-4
"29","ANN02","1497",19,2005,18.9,2014,-0.100000000000001
"30","ANN02","1498",18.8,2003,17,2014,-1.8
"31","ANN02","1499",21.5,2003,21.5,2014,0
"32","ANN02","640",13,2004,12.8,2014,-0.199999999999999
"33","ANN02","535",14,2004,14,2014,0
"34","ANN02","534",9,2004,10.8,2014,1.8
"35","ANN02","545",15.5,2004,15.9,2014,0.4
"36","ANN02","354",12.5,2004,14.2,2014,1.7
"37","ANN02","560",9.75,2004,9.7,2014,-0.0500000000000007
"38","ANN02","531",11.5,2004,11.7,2014,0.199999999999999
"39","ANN02","501",16.5,2004,19.5,2014,3
"40","ANN02","559",19,2004,22.5,2014,3.5
"41","ANN02","599",15.25,2004,15.8,2014,0.550000000000001
"42","ANN03","626",4.25,2004,4.6,2014,0.35
"43","ANN03","574",12.5,2004,8.3,2014,-4.2
"44","ANN03","5273",2,2012,2.1,2014,0.1
"45","ANN03","5659",9.7,2012,10.5,2014,0.800000000000001
"46","ANN03","6715",2,2012,2.4,2014,0.4
"47","ANN03","5658",3.4,2012,4.5,2014,1.1
"48","ANN03","5539",8.5,2012,8.5,2014,0
"49","ANN03","680",12.25,2004,13.8,2014,1.55
"50","ANN03","614",20.5,2004,22.9,2014,2.4
"51","ANN03","5592",6.1,2012,8,2014,1.9
"52","ANN03","612",7.25,2004,7.3,2014,0.0499999999999998
"53","ANN03","3178b",3.6,2012,3,2014,-0.6
"54","ANN03","663",7.2,2006,9.4,2014,2.2
"55","ANN03","3179b",3.8,2012,3.9,2014,0.1
"56","ANN03","615",4.25,2004,5.2,2014,0.95
"57","ANN03","642",5,2004,6.5,2014,1.5
"58","ANN03","524",4,2004,4.8,2014,0.8
"59","ANN03","635",2,2004,2.5,2014,0.5
"60","ANN03","3177",6.1,2004,8.6,2014,2.5
"61","ANN03","679",10,2004,12.8,2014,2.8
"62","ANN03","3180",22.4,2004,25.1,2014,2.7
"63","ANN03","5657",6.7,2012,6.8,2014,0.0999999999999996
"64","ANN03","5574",4.1,2012,4.1,2014,0
"65","ANN03","693",40,2004,43.5,2014,3.5
"66","ANN03","621",10.5,2004,10.8,2014,0.300000000000001
"67","ANN03","651",53.5,2004,58.3,2014,4.8
"68","ANN03","5536",6.5,2012,6.5,2014,0
"69","ANN03","601",12,2004,15.1,2014,3.1
"70","ANN03","617",1.75,2004,2.2,2014,0.45
"71","ANN03","622",2.25,2004,2.9,2014,0.65
"72","ANN03","602",6.5,2004,6.7,2014,0.2
"73","ANN03","5593",3.5,2012,3.5,2014,0
"74","ANN03","638",1.25,2004,2.6,2014,1.35
"75","ANN03","674",8,2004,7.6,2014,-0.4
"76","ANN03","5530",2.2,2012,2.3,2014,0.0999999999999996
"77","ANN03","4838",2.2,2012,2,2014,-0.2
"78","ANN03","573",15.5,2004,15.8,2014,0.300000000000001
"79","ANN03","5662",4.1,2012,4.1,2014,0
"80","ANN03","5661",2.8,2012,2.8,2014,0
"81","ANN03","5660",2.6,2012,2.5,2014,-0.1
"82","ANN03","5634",9.2,2012,9.3,2014,0.100000000000001
"83","ANN03","5537",2.4,2012,2.4,2014,0
"84","ANN03","537",13,2004,13,2014,0
"85","ANN03","669",15.25,2004,16.5,2014,1.25
"86","ANN03","5656",3.7,2012,3.9,2014,0.2
"87","ANN04","1500",60,2003,44.8,2014,-15.2
"88","ANN04","1985",45,2012,44.9,2014,-0.100000000000001
"89","ANN04","3074",32.9,2004,33.1,2014,0.200000000000003
"90","ANN04","3075",23.6,2004,14,2014,-9.6
"91","ANN04","3076",21.5,2004,18,2014,-3.5
"92","ANN04","392",20,2004,21.9,2014,1.9
"93","ANN04","549",4.5,2004,5.9,2014,1.4
"94","ANN04","603",6.75,2004,6.5,2014,-0.25
"95","ANN04","597",3.75,2004,4,2014,0.25
"96","ANN04","526",6.75,2004,7.3,2014,0.55
"97","ANN04","395",12,2004,14.9,2014,2.9
"98","ANN04","503",13,2004,14.7,2014,1.7
"99","ANN04","611",11.5,2004,13.7,2014,2.2
"100","ANN04","521",8.25,2004,8.1,2014,-0.15
"101","ANN04","518",16.25,2004,17.5,2014,1.25
"102","ANN04","643",12.75,2004,14.8,2014,2.05
"103","ANN04","595",17,2004,18.1,2014,1.1
"104","ANN04","1904",12.4,2005,13.9,2014,1.5
"105","ANN05","1257",25.1,2005,17,2014,-8.1
"106","ANN05","554",7,2004,7.9,2014,0.9
"107","ANN05","637",9.75,2004,11.2,2014,1.45
"108","ANN05","1901",11.4,2005,12.5,2014,1.1
"109","ANN05","1902",11.6,2005,13.7,2014,2.1
