"plotid","d2c","psiSpr","psiSum","psiWin","lon_utm","lat_utm","candens15m","twi15m","elev_m","veght_m"
"ann01",35783.578578,3901.720215,6500.188477,1277.006348,532568,4255157,0.8521418,6.7692710506632,205.335747131539,32.562546
"ann02",35659.459592,4731.483398,7325.113281,1806.937622,532557,4254989,0.9093458,6.66023707615019,233.304945155525,23.490792744
"ann03",36067.386951,3959.983154,7144.640137,1048.003906,533352,4254736,0.9364739,5.98144489976504,220.440444416428,41.90948184
"ann04",35288.994797,3897.242676,7283.745605,898.003784,532314,4254707,0.6104666,6.04369494710518,296.86150766716,8.743471464
"ann05",35678.858948,4461.130859,7575.193359,1365.368286,533109,4254426,0.7661383,8.44343474649162,284.587414567566,14.602273056
"ann06",34391.155737,5356.209961,7699.739258,2352.149414,531353,4254410,0.5134518,7.25614137354077,244.169409617043,6.289825368
"ann07",33905.522632,5044.595215,7206.560547,2221.848633,530915,4254163,0.7986755,7.05484443126446,139.707461111927,10.134529896
"ann08",34236.554551,4453.704102,7557.023438,1368.748657,531490,4254046,0.446056,6.48428053219521,249.294658405495,5.458705872
"ann09",34117.152486,5414.3125,7657.088379,2440.526855,531642,4253712,0.6557834,8.85292993867146,255.603814798737,12.810564168
"ann10",33153.754851,4470.257812,7577.447266,1377.664185,531251,4252716,0.5947646,6.63049277610403,319.073831212234,4.815401088
"ann11",33716.442581,3417.259277,7107.009766,466.151337,531964,4252765,0.717193,7.12058139764768,297.379501267433,14.98988112
"ann12",35646.717742,4197.660156,7417.743652,1159.574463,533593,4253918,0.8311359,8.0237707066917,294.720918776894,26.27350092
"ann13",34723.737952,5664.134766,7588.20166,2776.508057,532839,4253296,0.7986346,7.59032485581001,260.764543616295,18.064468824
"ann14",34929.201923,5269.399414,7659.697754,2269.615723,533258,4253127,0.6931938,12.9561626118286,295.264165414238,18.172733784
"ann15",34988.307718,3968.921143,7302.564453,975.749695,533723,4253228,0.836634,6.52004254046491,415.442162659836,14.269510704
"ann17",34505.594279,4857.48584,7668.804688,1780.71106,534656,4253218,0.6833606,6.89620622920316,312.164027179526,10.372782912
"ann18",34448.253006,4445.124512,7513.103516,1389.852295,532916,4252787,0.8435718,5.87581169890517,343.510707054518,24.707837808
"ann19",33895.40706,4382.374512,7489.452148,1329.491089,532487,4252438,0.5668711,7.22477371285352,383.269831510163,10.036905504
"ann20",34035.062694,3497.936279,7113.216309,568.550842,532753,4252341,0.5392258,10.1707354056263,410.016912561035,8.423769792
"ann21",34579.235956,5351.313965,7697.221191,2346.710449,533279,4252561,0.5802075,11.9060742834966,389.519016345977,19.369527936
"ann22",33955.345682,4015.190674,7252.845215,1055.432617,533211,4251684,0.6993329,7.89043319324404,468.326069714354,13.830796824
"ann23",34007.635796,5990.441406,7619.153809,3155.104492,533786,4252115,0.5368746,5.61998038804462,442.772029649734,9.807299664
"ann24",33840.136917,4392.029785,7519.12793,1327.485718,534558,4252390,0.8689648,6.89245833155293,389.640664734649,30.123265128
"ann25",33610.559912,5321.442871,7640.414062,2338.987549,534762,4252244,0.507703,8.55044750512992,360.105936542129,7.901668728
"ann27",33589.944798,3960.949463,7337.546875,929.05188,535906,4252866,0.831628,9.5705485781129,182.454720217323,30.8910228
"ann29",32458.637994,4933.157227,7707.540039,1849.825073,534830,4250940,0.6241286,6.80114553915443,372.221915164948,12.770583552
"ann30",32583.985594,4936.585449,7713.24707,1850.977417,535539,4251509,0.6672778,7.19069955865682,380.8799134346,12.24982056
"ann31",32530.42552,5127.394531,7705.852051,2077.287354,536014,4251717,0.871857,7.68159799925778,375.379297441866,22.207999272
"ann32",32028.133787,5037.290527,7717.835449,1967.196899,535549,4250871,0.8793831,5.53261910973326,348.157573851013,27.46816452
"ann33",31834.463309,4468.210938,7461.080078,1439.352295,536450,4251163,0.8134457,8.2124852433923,235.649678707123,18.445639512
"ann34",31572.543545,5315.998535,7703.106934,2300.75,535492,4250306,0.9303471,9.08005492315277,328.246537308884,32.45507352
"ann35",31338.952268,5503.955566,7702.446289,2526.477051,536662,4250714,0.8569329,9.20631840885017,235.316708842278,22.784153568
"ann36",33461.868198,4516.081543,6427.970215,1979.7677,530822,4253623,0.7412922,5.43740256031172,171.106850596619,11.352858168
"ann37",33000.723817,4838.381348,7517.564453,1837.753174,534705,4251499,0.6477888,6.2772992659802,374.539919025422,9.578602128
"ann38",32821.333391,3916.886719,7360.501953,867.188232,535946,4252012,0.8137884,7.08811086212033,349.823376532746,24.558799752
"apgar01",24498.093234,5607.34668,7767.879395,2619.056885,547360,4247383,0.8488622,6.96917574438503,627.634410536956,7.338687888
