"","plotid","pct_cvr","year"
"1","ann01",88.82,2006
"2","ann01",84.4,2011
"3","ann01",95.58,2014
"4","ann02",91.16,2006
"5","ann02",83.62,2011
"6","ann02",92.72,2014
"7","ann03",96.1,2006
"8","ann03",98.7,2011
"9","ann03",96.88,2014
"10","ann04",81.54,2006
"11","ann04",79.2,2011
"12","ann04",90.38,2014
"13","ann05",89.08,2006
"14","ann05",96.1,2011
"15","ann05",92.46,2014
"16","ann06",18.36,2006
"17","ann06",63.08,2011
"18","ann06",71.66,2014
"19","ann07",82.58,2006
"20","ann07",98.7,2010
"21","ann07",83.62,2011
"22","ann07",98.7,2014
"23","ann08",62.82,2006
"24","ann08",55.28,2011
"25","ann08",64.38,2014
"26","ann09",68.54,2006
"27","ann09",78.42,2011
"28","ann09",96.36,2014
"29","ann10",67.24,2006
"30","ann10",64.38,2011
"31","ann10",69.06,2014
"32","ann11",82.06,2006
"33","ann11",95.06,2011
"34","ann11",97.14,2014
"35","ann12",86.74,2006
"36","ann12",97.4,2011
"37","ann12",94.8,2014
"38","ann13",77.38,2006
"39","ann13",98.96,2011
"40","ann13",96.1,2014
"41","ann14",83.88,2006
"42","ann14",98.7,2011
"43","ann14",92.2,2014
"44","ann15",89.6,2006
"45","ann15",95.58,2011
"46","ann15",94.8,2014
"47","ann17",75.04,2006
"48","ann17",82.06,2011
"49","ann17",93.5,2014
"50","ann18",88.3,2006
"51","ann18",91.68,2011
"52","ann18",97.92,2014
"53","ann19",75.82,2006
"54","ann19",77.38,2011
"55","ann19",87.52,2014
"56","ann20",68.54,2006
"57","ann20",76.6,2011
"58","ann20",91.42,2014
"59","ann21",86.22,2006
"60","ann21",90.12,2011
"61","ann21",96.62,2014
"62","ann22",70.88,2006
"63","ann22",66.98,2011
"64","ann22",73.74,2014
"65","ann23",45.14,2006
"66","ann23",55.8,2011
"67","ann23",60.22,2014
"68","ann24",86.22,2006
"69","ann24",79.46,2011
"70","ann24",98.44,2014
"71","ann25",85.18,2006
"72","ann25",63.6,2011
"73","ann25",86.22,2014
"74","ann27",89.86,2006
"75","ann27",91.16,2011
"76","ann27",95.06,2014
"77","ann29",85.44,2006
