"plotid","X","Y","ppt04dys_r","ppt05dys_r","ppt06dys_r","ppt07dys_r","ppt08dys_r","ppt09dys_r","ppt10dys_r","ppt11dys_r","ppt12dys_r","ppt14dys_r","dys04c2d","dys04a3d","dys05a2d","dys05a3d","dys06b2d","dys06b3d","dys07a2d","dys07c3d","dys08c2d","dys08a3d","dys09a2d","dys09b3d","dys10c2d","dys10a3d","dys11b2d","dys11a3d","dys12b2d","dys12d3d","dys14a2d","dys14b3d","ppt04dys_v","ppt05dys_v","ppt06dys_v","ppt07dys_v","ppt08dys_v","ppt09dys_v","ppt10dys_v","ppt11dys_v","ppt12dys_v","ppt14dys_v","ppt04tot_r","ppt05tot_r","ppt06tot_r","ppt07tot_r","ppt08tot_r","ppt09tot_r","ppt10tot_r","ppt11tot_r","ppt12tot_r","ppt14tot_r","ppt04b2d","ppt04a3d","ppt05a2d","ppt05c3d","ppt06a2d","ppt06b3d","ppt07c2d","ppt07a3d","ppt08c2d","ppt08e3d","ppt09b2d","ppt09a3d","ppt10b2d","ppt10a3d","ppt11b2d","ppt11b3d","ppt12c2d","ppt12b3d","ppt14b2d","ppt14b3d","ppt04tot_v","ppt05tot_v","ppt06tot_v","ppt07tot_v","ppt08tot_v","ppt09tot_v","ppt10tot_v","ppt11tot_v","ppt12tot_v","ppt14tot_v","pptsum04","pptsum05","pptsum06","pptsum07","pptsum08","pptsum09","pptsum10"
"ANN01",532568,4255157,31.3590663056444,-90.9164904779512,40.0026813449391,-46.9866660930367,10.9294626084749,-6.5621237112657,10.678199940999,-34.9739354123609,-54.1285609985827,-48.044039519887,74.73278,68.87679,75.15097,70.41973,94.02768,89.1573,55.52565,53.30472,63.65244,60.39642,73.17373,69.64532,82.41822,82.20159,83.08933,90.21327,74.68833,64.77073,35.0742,40.28445,83,78,93,55,53,81,82,89,61,43,1177.31525395294,4560.32368897998,2678.2273051491,395.709913671963,526.294079144587,562.51337817609,878.970034625931,878.970034625931,702.744646569836,337.251278591056,938.0683,745.4882,909.9623,899.6085,1212.77,1151.667,628.2047,570.5854,543.7531,555.1829,390.2089,400.2877,820.2726,786.7194,1049.397,928.161,504.7446,544.9849,440.7055,455.2899,902.462,1016.762,1132.84,617.982,543.306,296.418,748.792,1145.286,610.87,532.638,1011.139991,1023.319992,1420.659988,656.149986,701.960009,682.450015,934.210003
"ANN02",532557,4254989,30.2547944082045,-90.4932564353275,39.8784085150019,-47.1404303264898,10.8915526544043,-6.23863915868343,10.7222652022398,-35.5869724865753,-54.5962618555952,-47.8954185395235,74.28521,68.68271,75.23396,70.48505,94.00927,89.08305,55.6568,53.36801,63.90385,60.46906,73.08065,69.53325,82.40211,82.24329,82.38554,90.11293,75.4108,65.12725,34.60944,40.07461,83,78,93,55,53,81,82,89,61,43,1168.07201561778,4563.82799169955,2621.57615683819,394.189982933015,529.425291744871,576.367677038123,876.4839962172,876.4839962172,706.853429311196,350.446027524919,923.5893,738.0779,902.8611,892.2512,1211.366,1134.571,625.5922,563.2051,539.6121,548.5179,391.9725,404.5484,818.2192,785.9758,1028.855,916.7745,501.2446,547.9142,428.7098,459.7657,902.462,1016.762,1132.84,617.982,543.306,296.418,748.792,1145.286,610.87,532.638,1037.560009,1040.070004,1449.710026,671.959999,715.960002,692.180005,952.449993
"ANN03",533352,4254736,31.3235524306222,-91.7359061369896,40.3878055959356,-47.58078067042,11.0161468677753,-6.58540170655107,10.762001573423,-35.6077668888116,-54.9338931292524,-48.5095488462855,75.76641,69.20297,75.68709,70.7369,94.89372,89.39523,55.9468,53.4944,66.45528,61.11463,73.63237,70.52303,82.52607,82.25485,79.07333,87.11797,72.69028,64.36811,34.97815,40.27861,83,78,93,55,90,81,82,89,61,43,1184.68077862052,4568.60663551729,2684.29635462292,399.4547795859,533.260707682401,573.762031640157,886.951611381019,886.951611381019,711.87916893384,346.022296577933,900.55,771.3102,932.5475,913.9886,1227.844,1176.726,615.8376,576.8867,529.6242,559.3193,407.0514,389.3915,827.9027,792.1627,1002.689,930.0011,526.3105,559.6364,447.2148,459.3392,902.462,1016.762,1132.84,617.982,360.68,296.418,748.792,1145.286,610.87,532.638,1052.269996,1049.01001,1466.779984,680.170008,724.389985,700.069983,958.549988
"ANN04",532314,4254707,27.7841254101607,-89.2873119186001,39.4796246663163,-47.3041854645012,10.7784007205799,-5.50822316137086,10.792534066397,-36.7714101478718,-55.401837794944,-47.4171427066142,73.02142,68.14604,75.12535,70.55674,93.71008,88.7551,55.77711,53.4303,63.62349,60.43238,72.74993,69.0676,82.36218,82.31097,81.92922,90.45712,77.19074,65.89144,33.70425,39.6448,83,78,93,55,53,81,82,89,61,43,1144.88488459505,4569.35433036111,2492.16164561224,389.614182196816,534.319168564384,604.050018668057,868.385833036315,868.385833036315,713.268989248325,377.423916766121,900.7642,715.1409,882.0972,869.7468,1204.539,1063.178,622.6269,551.5787,535.2232,522.9064,392.5918,417.8534,812.1589,783.0619,996.9474,892.1171,489.7794,557.8341,402.6121,487.7585,902.462,1016.762,1132.84,617.982,543.306,296.418,748.792,1145.286,610.87,532.638,1073.359991,1061.63002,1486.960016,692.410001,735.049991,703.970011,973.970001
"ANN05",533109,4254426,28.5630850729712,-90.4524071505265,39.9718413419139,-47.8059873057665,10.8974778455806,-5.76804061266492,10.849567526301,-36.9744073874371,-55.889647267877,-48.010770734085,74.49301,68.67601,75.55959,70.69838,94.66438,89.05349,56.14451,53.59872,66.35512,61.18578,73.28033,69.95246,82.48463,82.3231,78.54992,88.74141,74.56831,65.12363,34.0841,39.88462,83,78,93,55,90,81,82,89,61,43,1159.48700661483,4575.12896027448,2540.52088278873,394.628772792869,539.232018228293,605.475471706852,878.55166008866,878.55166008866,719.715761728758,376.752718203007,882.3257,738.9724,904.8889,887.6915,1221.914,1105.671,614.0885,553.5256,522.7513,530.1759,407.5266,403.0796,822.1014,789.4233,960.7054,893.3459,514.5535,570.038,423.1533,487.619,902.462,1016.762,1132.84,617.982,360.68,296.418,748.792,1145.286,610.87,532.638,1089.060023,1073.080009,1507.579971,701.61998,742.369995,711.179988,983.219978
"ANN06",531353,4254410,28.3887411787245,-87.1704959285091,38.4623778600258,-45.6962932866389,10.5041716236684,-5.76990095803371,10.4087225245201,-34.8828827363826,-53.1474040148011,-46.194816048945,69.8819,66.83157,74.42525,70.7014,92.12151,88.56929,55.52517,53.31859,60.52814,59.74997,71.81999,67.86437,82.48257,82.44347,83.88425,90.47661,81.02158,67.27934,32.05354,38.85461,83,75,93,55,53,64,82,88,84,23,1122.50441417709,4555.43105646277,2490.98793764842,379.959597061291,514.330530945286,568.083278316281,845.634413013035,845.634413013035,686.664262839485,349.093795802775,864.882,685.9306,839.9036,834.5436,1173.867,1087.269,619.9196,558.3428,540.7897,542.2667,384.3249,450.8075,793.8324,773.0994,980.3749,867.1492,456.829,517.7095,347.4455,423.1238,902.462,748.284,1132.84,617.982,543.306,533.146,748.792,846.074,394.208,191.262,1041.630004,1041.290001,1453.119995,674.069992,717.110002,688.660004,954.220009
"ANN07",530915,4254163,31.6028294620477,-86.4452282916354,37.9228767269919,-44.0164007052063,10.3558435616514,-6.83080231838319,9.94601977324786,-31.8531342067965,-50.1833826158397,-45.5470124315675,68.58645,66.22734,74.24821,70.83324,91.32317,88.43125,55.43858,53.27784,59.24881,59.46485,71.48133,67.49776,82.67687,82.51769,84.38206,87.99582,82.17839,67.76067,31.2048,38.50317,83,75,93,55,53,64,82,88,84,23,1124.94967729578,4538.20561704906,2626.34119579263,375.701379978595,490.283215231123,504.673412781068,832.399153633861,832.399153633861,654.688566830914,293.761925509711,841.2641,675.4689,825.3226,822.471,1158.18,1173.187,616.2048,570.9883,542.5266,564.443,382.8669,462.4137,785.4096,768.752,972.9332,861.4316,445.2781,486.4182,323.0205,367.9136,902.462,748.284,1132.84,617.982,543.306,533.146,748.792,846.074,394.208,191.262,893.309999,949.57,1295.820008,589.019991,636.460002,629,859.29002
"ANN08",531490,4254046,28.1793509928729,-86.8471107784563,38.3288260258472,-45.5953559961565,10.4569514195891,-5.75345466353278,10.3541920059047,-34.8742974784074,-53.0754501771561,-46.0361351761285,69.42173,66.59586,74.60495,70.86361,92.29969,88.57828,55.74144,53.42308,61.28584,59.83421,71.79498,67.84905,82.38168,82.50858,82.38853,89.61993,81.25842,67.73318,31.42656,38.47538,83,75,93,55,53,64,82,88,84,23,1116.73571638665,4556.97698389736,2474.91133068784,378.627803285504,513.250414892266,568.19004736631,842.388008982396,842.388008982396,685.128409397667,349.899175684118,843.3777,681.4239,833.5681,828.8785,1177.849,1079.562,615.7765,556.3648,535.1252,537.8097,391.668,454.3206,793.3061,773.3593,955.5112,859.6494,458.0654,521.8901,332.6015,425.0599,902.462,748.284,1132.84,617.982,543.306,533.146,748.792,846.074,394.208,191.262,1027.840007,1033.100006,1438.03998,666.289997,709.690013,683.03,946.529999
"ANN09",531642,4253712,27.8361047579153,-86.5862126868841,38.2325311754384,-45.5838138131367,10.4204821657952,-5.68968800236758,10.3252773948028,-35.0112724908393,-53.1518793280891,-45.9221092063974,68.33057,66.06416,74.67847,71.10657,92.24827,88.52499,55.95574,53.52942,61.73659,59.82548,71.62265,67.66885,82.35107,82.61469,80.77805,88.6436,81.72284,68.32556,30.46126,37.9373,83,75,93,55,53,64,82,88,84,23,1111.30660287765,4559.25973702835,2453.74961078143,377.615198471457,513.411065649413,571.304902309698,840.039485060787,840.039485060787,685.247731132183,353.27236222096,809.9342,670.6083,819.4832,816.24,1178.179,1064.71,609.8268,553.9846,529.1833,531.9923,400.5956,463.6901,790.1691,772.2238,920.6593,846.035,456.6737,523.7952,308.8773,424.5317,902.462,748.284,1132.84,617.982,543.306,533.146,748.792,846.074,394.208,191.262,1040.629997,1041.750004,1453.509972,674.019999,716.40002,688.669984,956.119995
"ANN10",531251,4252716,24.7533680938201,-83.9857409069223,37.232433972286,-45.122167451263,10.1262293593398,-4.87653767248696,10.2034280044807,-35.8230270323442,-53.2998253754707,-44.7243344192567,63.7832,63.93254,74.73792,71.98523,90.66444,88.03001,56.01589,53.57385,60.1018,58.82546,70.92508,66.97031,83.06713,83.05631,78.9962,87.6219,82.52171,69.54631,27.3935,36.5261,71,75,93,60,53,64,82,88,84,23,1067.66099682301,4563.7905245121,2273.99994461397,367.081318470347,511.345445464586,593.282606590776,818.231534824335,818.231534824335,682.224754532679,377.8802673469,707.0698,627.5488,774.2089,779.4016,1150.131,929.1656,593.5021,549.1949,528.8132,498.1223,416.3162,490.6094,770.3209,760.2797,871.9062,829.3906,443.0586,528.4113,236.909,450.5022,686.054,748.284,1132.84,557.276,543.306,533.146,748.792,846.074,394.208,191.262,1090.979991,1075.160004,1510.130018,704.829993,745.670009,708.70001,990.859989
