"","plotid","hrs04_14_20","hrs04_abv25","hrs04_blw10","hrs05_14_20","hrs05_abv25","hrs05_blw10","hrs06_14_20","hrs06_abv25","hrs06_blw10","hrs07_14_20","hrs07_abv25","hrs07_blw10","hrs08_14_20","hrs08_abv25","hrs08_blw10","hrs09_14_20","hrs09_abv25","hrs09_blw10","hrs10_14_20","hrs10_abv25","hrs10_blw10","hrs11_14_20","hrs11_abv25","hrs11_blw10","hrs12_14_20","hrs12_abv25","hrs12_blw10","hrs14_14_20","hrs14_abv25","hrs14_blw10"
"1","ANN01",714,59,2663,625,6,2615,627,16,2737,732,40,2615,629,20,2909,755,61,2615,510,NA,3165,656,13,2937,720,42,2783,795,14,1702
"2","ANN02",735,68,2710,611,7,2739,636,23,2789,726,41,2752,635,20,3019,714,60,2662,498,NA,3199,633,13,2976,703,49,2813,758,15,1759
"3","ANN03",759,42,2597,661,3,2407,720,13,2652,799,26,2421,694,11,2706,759,50,2458,551,NA,3124,680,11,2866,770,29,2527,967,15,1370
"4","ANN04",756,86,2654,672,19,2542,741,34,2676,812,51,2439,769,28,2716,812,73,2423,584,9,3058,742,26,2798,771,71,2478,1055,21,1375
"5","ANN05",743,87,2755,641,19,2618,696,27,2694,785,45,2525,723,26,2794,785,76,2469,582,11,3082,728,26,2810,811,70,2566,996,22,1403
"6","ANN06",767,136,2435,800,44,2519,690,65,2516,841,92,2474,740,42,2774,824,118,2576,615,35,2997,733,49,2766,879,107,2577,832,44,1762
"7","ANN07",631,131,2610,720,38,2684,657,53,2692,734,86,2727,644,32,2988,717,96,2772,550,35,3084,629,51,2902,730,100,2847,720,34,2209
"8","ANN08",746,140,2474,756,49,2496,694,72,2494,838,96,2476,777,39,2797,808,120,2523,599,40,2966,732,49,2765,835,101,2617,851,41,1690
"9","ANN09",766,101,2492,728,26,2491,705,40,2545,849,58,2484,765,30,2784,844,87,2473,587,17,2968,753,37,2786,812,71,2608,881,28,1597
"10","ANN10",786,79,2424,693,16,2394,796,34,2520,862,49,2328,784,24,2672,842,75,2453,558,4,3018,726,21,2820,757,65,2522,976,18,1422
"11","ANN11",780,56,2553,670,7,2417,803,23,2541,851,26,2325,697,21,2898,756,64,2477,579,NA,2923,759,18,2729,775,38,2335,1105,15,1282
"12","ANN12",772,60,2695,610,10,2585,735,22,2720,788,30,2472,719,19,2742,778,58,2524,497,NA,3230,666,12,2898,712,35,2600,997,16,1407
"13","ANN13",563,32,3161,443,4,3350,418,15,3270,560,20,3124,412,10,3335,606,46,3008,363,NA,3650,460,9,3227,478,49,3195,568,11,2156
"14","ANN14",594,32,3161,432,3,3234,421,16,3152,615,20,3016,437,8,3288,599,41,3070,360,NA,3669,453,9,3310,457,20,3309,513,11,2211
"15","ANN15",728,46,3040,535,10,2796,720,23,2960,772,33,2666,632,18,3018,826,67,2641,491,NA,3294,655,12,3093,650,39,2711,1168,12,1441
"16","ANN17",776,89,2693,653,22,2709,678,32,2735,806,46,2554,706,25,2880,809,75,2571,549,5,3199,683,23,2918,771,51,2734,891,18,1548
"17","ANN18",761,58,2865,585,12,2699,708,30,2779,778,28,2533,660,17,2859,804,67,2515,530,NA,3191,695,16,2921,735,43,2633,1051,12,1410
