"","plotid","species","year","live_count","live_avg_dbh","live_tot_dbh","dead_count","dead_avg_dbh","dead_tot_dbh","all_live_count","all_live_dbh","rel_dens","rel_dom","imp_value"
"1","ann01","umca",2004,16,11.15625,178.5,1,7,7,16,178.5,1,1,1
"2","ann01","umca",2005,16,NA,NA,1,NA,NA,16,0,1,NA,NA
"3","ann01","umca",2006,18,NA,NA,1,NA,NA,18,0,1,NA,NA
"4","ann01","umca",2007,17,NA,NA,1,NA,NA,17,0,1,NA,NA
"5","ann01","umca",2008,18,NA,NA,1,NA,NA,18,0,1,NA,NA
"6","ann01","umca",2009,17,NA,NA,NA,NA,NA,17,0,1,NA,NA
"7","ann01","umca",2010,18,NA,NA,NA,NA,NA,18,0,1,NA,NA
"8","ann01","umca",2011,18,NA,NA,NA,NA,NA,18,0,1,NA,NA
"9","ann01","umca",2012,19,10.6631578947368,202.6,NA,NA,NA,19,202.6,1,1,1
"10","ann01","umca",2014,18,10.9888888888889,197.8,1,10.7,10.7,19,274.2,0.947368421052632,0.721371261852662,0.834369841452647
"11","ann02","quke",2003,4,NA,NA,NA,NA,NA,4,0,1,NA,NA
"12","ann02","quke",2005,3,19.7666666666667,59.3,1,18,18,14,301.48,0.214285714285714,0.196696298261908,0.205491006273811
"13","ann02","quke",2006,3,NA,NA,1,NA,NA,4,0,0.75,NA,NA
"14","ann02","quke",2007,3,NA,NA,1,NA,NA,4,0,0.75,NA,NA
"15","ann02","quke",2008,3,NA,NA,1,NA,NA,4,0,0.75,NA,NA
"16","ann02","quke",2009,3,NA,NA,1,NA,NA,4,0,0.75,NA,NA
"17","ann02","quke",2010,2,NA,NA,2,NA,NA,3,0,0.666666666666667,NA,NA
"18","ann02","quke",2011,2,NA,NA,2,NA,NA,3,0,0.666666666666667,NA,NA
"19","ann02","quke",2012,1,21.6,21.6,3,NA,NA,2,32.2,0.5,0.670807453416149,0.585403726708075
"20","ann02","quke",2014,1,21.5,21.5,3,16.6333333333333,49.9,10,272.2,0.1,0.0789860396767083,0.0894930198383542
"21","ann02","umca",2004,1,9,9,NA,NA,NA,1,9,1,1,1
"22","ann02","umca",2005,1,NA,NA,NA,NA,NA,14,301.48,0.0714285714285714,NA,NA
"23","ann02","umca",2006,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"24","ann02","umca",2007,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"25","ann02","umca",2008,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"26","ann02","umca",2009,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"27","ann02","umca",2010,1,NA,NA,NA,NA,NA,3,0,0.333333333333333,NA,NA
"28","ann02","umca",2011,1,NA,NA,NA,NA,NA,3,0,0.333333333333333,NA,NA
