"PlotID","Date","ClusterID","TagNumber","SpeciesID","StemStatus","AliveClass","DeadClass","SympLeafCount","CankerPresent","DBH","LideFoliarSymp","SOD_Dead","Location"
"ANN01",5/12/2004 0:00:00,7,"807","UMCA","Alive",,,0,0,20.50,0,0,"In"
"ANN01",5/12/2004 0:00:00,1,"862","UMCA","Alive",,,17,0,12.00,0,0,"Out"
"ANN01",5/12/2004 0:00:00,2,"889","UMCA","Alive",,,46,0,13.50,0,0,"In"
"ANN01",5/12/2004 0:00:00,3,"841","UMCA","Alive",,,64,0,22.75,0,0,"In"
"ANN01",5/12/2004 0:00:00,4,"816","UMCA","Alive",,,0,0,1.25,0,0,"In"
"ANN01",5/12/2004 0:00:00,5,"812","UMCA","Alive",,,0,0,11.00,0,0,"Out"
"ANN01",5/12/2004 0:00:00,6,"832","UMCA","Alive",,,0,0,11.00,0,0,"Out"
"ANN01",5/12/2004 0:00:00,8,"838","UMCA","Alive",,,24,0,3.50,0,0,"In"
"ANN01",5/12/2004 0:00:00,9,"900","UMCA","Alive",,,1,0,13.25,0,0,"In"
"ANN01",5/12/2004 0:00:00,10,"814","UMCA","Alive",,,5,0,1.75,0,0,"In"
"ANN01",5/12/2004 0:00:00,11,"887","UMCA","Alive",,,1,0,16.00,0,0,"Out"
"ANN01",5/12/2004 0:00:00,12,"879","UMCA","Alive",,,81,0,7.00,0,0,"In"
"ANN01",5/12/2004 0:00:00,13,"815","UMCA","Alive",,,31,0,9.50,0,0,"In"
"ANN01",5/12/2004 0:00:00,13,"875","UMCA","Alive",,,15,0,24.00,0,0,"In"
"ANN01",5/12/2004 0:00:00,20,"826","UMCA","Alive",,,120,0,10.75,0,0,"Out"
"ANN01",5/12/2004 0:00:00,5,"809","UMCA","Alive",,,3,0,1.75,0,0,"In"
"ANN01",5/12/2004 0:00:00,15,"844","UMCA","Alive",,,0,0,10.00,0,0,"In"
"ANN01",5/12/2004 0:00:00,16,"822","UMCA","Alive",,,71,0,22.50,0,0,"Out"
"ANN01",5/12/2004 0:00:00,17,"831","UMCA","Dead",,,-9999,0,7.00,0,0,"In"
"ANN01",5/12/2004 0:00:00,18,"828","UMCA","Alive",,,0,0,17.00,0,0,"In"
"ANN01",5/12/2004 0:00:00,18,"836","UMCA","Alive",,,0,0,6.50,0,0,"In"
"ANN01",5/12/2004 0:00:00,19,"884","UMCA","Alive",,,22,0,9.25,0,0,"In"
"ANN01",5/12/2004 0:00:00,6,"827","UMCA","Alive",,,0,0,10.50,0,0,"Out"
