,plot,old_date,cluster,tag,species,status,alive_class,dead_class,slc,canker,dbh,lide_lf_symp,sod_dead,location,year,date
1,ANN01,5/12/04,7,807,UMCA,Alive,NA,NA,0,FALSE,20.5,FALSE,FALSE,In,2004,5/12/04
2,ANN01,5/12/04,1,862,UMCA,Alive,NA,NA,17,FALSE,12,FALSE,FALSE,Out,2004,5/12/04
3,ANN01,5/12/04,2,889,UMCA,Alive,NA,NA,46,FALSE,13.5,FALSE,FALSE,In,2004,5/12/04
4,ANN01,5/12/04,3,841,UMCA,Alive,NA,NA,64,FALSE,22.75,FALSE,FALSE,In,2004,5/12/04
5,ANN01,5/12/04,4,816,UMCA,Alive,NA,NA,0,FALSE,1.25,FALSE,FALSE,In,2004,5/12/04
6,ANN01,5/12/04,5,812,UMCA,Alive,NA,NA,0,FALSE,11,FALSE,FALSE,Out,2004,5/12/04
7,ANN01,5/12/04,6,832,UMCA,Alive,NA,NA,0,FALSE,11,FALSE,FALSE,Out,2004,5/12/04
8,ANN01,5/12/04,8,838,UMCA,Alive,NA,NA,24,FALSE,3.5,FALSE,FALSE,In,2004,5/12/04
9,ANN01,5/12/04,9,900,UMCA,Alive,NA,NA,1,FALSE,13.25,FALSE,FALSE,In,2004,5/12/04
10,ANN01,5/12/04,10,814,UMCA,Alive,NA,NA,5,FALSE,1.75,FALSE,FALSE,In,2004,5/12/04
11,ANN01,5/12/04,11,887,UMCA,Alive,NA,NA,1,FALSE,16,FALSE,FALSE,Out,2004,5/12/04
12,ANN01,5/12/04,12,879,UMCA,Alive,NA,NA,81,FALSE,7,FALSE,FALSE,In,2004,5/12/04
13,ANN01,5/12/04,13,815,UMCA,Alive,NA,NA,31,FALSE,9.5,FALSE,FALSE,In,2004,5/12/04
14,ANN01,5/12/04,13,875,UMCA,Alive,NA,NA,15,FALSE,24,FALSE,FALSE,In,2004,5/12/04
15,ANN01,5/12/04,20,826,UMCA,Alive,NA,NA,120,FALSE,10.75,FALSE,FALSE,Out,2004,5/12/04
16,ANN01,5/12/04,5,809,UMCA,Alive,NA,NA,3,FALSE,1.75,FALSE,FALSE,In,2004,5/12/04
17,ANN01,5/12/04,15,844,UMCA,Alive,NA,NA,0,FALSE,10,FALSE,FALSE,In,2004,5/12/04
18,ANN01,5/12/04,16,822,UMCA,Alive,NA,NA,71,FALSE,22.5,FALSE,FALSE,Out,2004,5/12/04
19,ANN01,5/12/04,17,831,UMCA,Dead,NA,NA,-9999,FALSE,7,FALSE,FALSE,In,2004,5/12/04
20,ANN01,5/12/04,18,828,UMCA,Alive,NA,NA,0,FALSE,17,FALSE,FALSE,In,2004,5/12/04
21,ANN01,5/12/04,18,836,UMCA,Alive,NA,NA,0,FALSE,6.5,FALSE,FALSE,In,2004,5/12/04
22,ANN01,5/12/04,19,884,UMCA,Alive,NA,NA,22,FALSE,9.25,FALSE,FALSE,In,2004,5/12/04
23,ANN01,5/12/04,6,827,UMCA,Alive,NA,NA,0,FALSE,10.5,FALSE,FALSE,Out,2004,5/12/04
24,ANN01,5/12/04,14,834,UMCA,Alive,NA,NA,4,FALSE,17,FALSE,FALSE,In,2004,5/12/04
25,ANN01,3/25/05,13,875,UMCA,Alive,NA,NA,15,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
26,ANN01,3/25/05,14,834,UMCA,Alive,NA,NA,44,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
27,ANN01,3/25/05,5,809,UMCA,Alive,NA,NA,0,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
28,ANN01,3/25/05,15,844,UMCA,Alive,NA,NA,31,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
29,ANN01,3/25/05,16,822,UMCA,Alive,NA,NA,21,FALSE,NA,FALSE,FALSE,Out,2005,3/25/05
30,ANN01,3/25/05,17,831,UMCA,Dead,NA,NA,-9999,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
31,ANN01,3/25/05,13,815,UMCA,Alive,NA,NA,34,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
32,ANN01,3/25/05,18,836,UMCA,Alive,NA,NA,0,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
33,ANN01,3/25/05,1,862,UMCA,Alive,NA,NA,31,FALSE,NA,FALSE,FALSE,Out,2005,3/25/05
34,ANN01,3/25/05,19,884,UMCA,Alive,NA,NA,30,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
35,ANN01,3/25/05,18,828,UMCA,Alive,NA,NA,0,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
36,ANN01,3/25/05,12,879,UMCA,Alive,NA,NA,54,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
37,ANN01,3/25/05,11,887,UMCA,Alive,NA,NA,14,FALSE,NA,FALSE,FALSE,Out,2005,3/25/05
38,ANN01,3/25/05,9,900,UMCA,Alive,NA,NA,12,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
39,ANN01,3/25/05,7,807,UMCA,Alive,NA,NA,2,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
40,ANN01,3/25/05,6,827,UMCA,Alive,NA,NA,0,FALSE,NA,FALSE,FALSE,Out,2005,3/25/05
41,ANN01,3/25/05,2,889,UMCA,Alive,NA,NA,41,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
42,ANN01,3/25/05,3,841,UMCA,Alive,NA,NA,39,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
43,ANN01,3/25/05,4,816,UMCA,Alive,NA,NA,8,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
44,ANN01,3/25/05,5,812,UMCA,Alive,NA,NA,1,FALSE,NA,FALSE,FALSE,Out,2005,3/25/05
45,ANN01,3/25/05,20,826,UMCA,Alive,NA,NA,54,FALSE,NA,FALSE,FALSE,Out,2005,3/25/05
46,ANN01,3/25/05,10,814,UMCA,Alive,NA,NA,0,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
47,ANN01,3/25/05,6,832,UMCA,Alive,NA,NA,0,FALSE,NA,FALSE,FALSE,Out,2005,3/25/05
48,ANN01,3/25/05,8,838,UMCA,Alive,NA,NA,14,FALSE,NA,FALSE,FALSE,In,2005,3/25/05
49,ANN01,4/3/06,5,809,UMCA,Alive,NA,NA,11,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
50,ANN01,4/3/06,6,832,UMCA,Alive,NA,NA,47,FALSE,NA,FALSE,FALSE,Out,2006,4/3/06
51,ANN01,4/3/06,7,807,UMCA,Alive,NA,NA,12,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
52,ANN01,4/3/06,8,838,UMCA,Alive,NA,NA,125,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
53,ANN01,4/3/06,9,900,UMCA,Alive,NA,NA,46,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
54,ANN01,4/3/06,10,814,UMCA,Alive,NA,NA,21,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
55,ANN01,4/3/06,11,887,UMCA,Alive,NA,NA,23,FALSE,NA,FALSE,FALSE,Out,2006,4/3/06
56,ANN01,4/3/06,12,879,UMCA,Alive,NA,NA,44,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
57,ANN01,4/3/06,6,827,UMCA,Alive,NA,NA,16,FALSE,NA,FALSE,FALSE,Out,2006,4/3/06
58,ANN01,4/3/06,13,875,UMCA,Alive,NA,NA,13,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
59,ANN01,4/3/06,14,834,UMCA,Alive,NA,NA,47,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
60,ANN01,4/3/06,16,822,UMCA,Alive,NA,NA,50,FALSE,NA,FALSE,FALSE,Out,2006,4/3/06
61,ANN01,4/3/06,17,831,UMCA,Dead,NA,NA,-9999,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
62,ANN01,4/3/06,18,828,UMCA,Alive,NA,NA,37,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
63,ANN01,4/3/06,18,836,UMCA,Alive,NA,NA,3,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
64,ANN01,4/3/06,19,884,UMCA,Alive,NA,NA,25,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
65,ANN01,4/3/06,20,826,UMCA,Alive,NA,NA,76,FALSE,NA,FALSE,FALSE,Out,2006,4/3/06
66,ANN01,4/3/06,9,4540,UMCA,Alive,NA,NA,8,FALSE,2,FALSE,FALSE,In,2006,4/3/06
67,ANN01,4/3/06,3,4541,UMCA,Alive,NA,NA,56,FALSE,2.5,FALSE,FALSE,In,2006,4/3/06
68,ANN01,4/3/06,13,815,UMCA,Alive,NA,NA,15,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
69,ANN01,4/3/06,4,816,UMCA,Alive,NA,NA,25,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
70,ANN01,4/3/06,3,841,UMCA,Alive,NA,NA,118,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
71,ANN01,4/3/06,2,889,UMCA,Alive,NA,NA,78,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
72,ANN01,4/3/06,1,862,UMCA,Alive,NA,NA,27,FALSE,NA,FALSE,FALSE,Out,2006,4/3/06
73,ANN01,4/3/06,15,844,UMCA,Alive,NA,NA,82,FALSE,NA,FALSE,FALSE,In,2006,4/3/06
74,ANN01,4/3/06,5,812,UMCA,Alive,NA,NA,7,FALSE,NA,FALSE,FALSE,Out,2006,4/3/06
75,ANN01,4/9/07,13,875,UMCA,Alive,NA,NA,45,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
76,ANN01,4/9/07,9,4540,UMCA,X- Stem Missing,NA,NA,-9999,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
77,ANN01,4/9/07,20,826,UMCA,Alive,NA,NA,23,FALSE,NA,FALSE,FALSE,Out,2007,4/9/07
78,ANN01,4/9/07,19,884,UMCA,Alive,NA,NA,64,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
79,ANN01,4/9/07,18,836,UMCA,Alive,NA,NA,5,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
80,ANN01,4/9/07,18,828,UMCA,Alive,NA,NA,9,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
81,ANN01,4/9/07,17,831,UMCA,Dead,NA,NA,-9999,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
82,ANN01,4/9/07,16,822,UMCA,Alive,NA,NA,53,FALSE,NA,FALSE,FALSE,Out,2007,4/9/07
83,ANN01,4/9/07,15,844,UMCA,Alive,NA,NA,105,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
84,ANN01,4/9/07,14,834,UMCA,Alive,NA,NA,35,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
85,ANN01,4/9/07,3,4541,UMCA,Alive,NA,NA,33,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
86,ANN01,4/9/07,13,815,UMCA,Alive,NA,NA,39,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
87,ANN01,4/9/07,12,879,UMCA,Alive,NA,NA,69,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
88,ANN01,4/9/07,4,816,UMCA,Alive,NA,NA,64,FALSE,NA,FALSE,FALSE,In,2007,4/9/07
