"","plotid","Date","species","cluster","tag","status","stemestdbh","stemslc","stemdbh2012","X","Y","dbh04","dbh05","dbh12","slc04","umcact04","osSR04","usSR04","cover06","rdays2004","amou2004","rsAvgPrec","rsTotPrec","rsAvgTmin","rsAvgTmax","slope","aspect","elev","tmi","psiAvg","d2c","rs04pBelow0","rs04pBelow10","rs04pBelow5","rs04pBelow4","rs04pBelow8","rs04p5_15","rs04p5_20","rs04p5_10","rs04p8_16","rs04p10_15","rs04p20_25","rs04p14_26","rs04p15_20","rs04pAbove18","rs04pAbove22","rs04pAbove26","rs04pAbove30","rs04avgTemp","rs04avgTmax","rs04avgTmin"
"1","ANN01",2004-05-12,"UMCA","V","807","Alive",20.5,0,21.9,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"2","ANN01",2004-05-12,"UMCA","O","809","Alive",1.75,3,1.5,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"3","ANN01",2004-05-12,"UMCA","O","812","Alive",11,0,11.2,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"4","ANN01",2004-05-12,"UMCA","A","814","Alive",1.75,5,2.2,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"5","ANN01",2004-05-12,"UMCA","Q","815","Alive",9.5,31,10,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"6","ANN01",2004-05-12,"UMCA","L","816","Alive",1.25,0,2.8,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"7","ANN01",2004-05-12,"UMCA","K","822","Alive",22.5,71,24.7,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"8","ANN01",2004-05-12,"UMCA","H","826","Alive",10.75,120,6.6,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"9","ANN01",2004-05-12,"UMCA","R","827","Alive",10.5,0,NA,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"10","ANN01",2004-05-12,"UMCA","I","828","Alive",17,0,16.3,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"11","ANN01",2004-05-12,"UMCA","R","832","Alive",11,0,11.9,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"12","ANN01",2004-05-12,"UMCA","U","834","Alive",17,4,18.9,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"13","ANN01",2004-05-12,"UMCA","I","836","Alive",6.5,0,10.6,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"14","ANN01",2004-05-12,"UMCA","G","838","Alive",3.5,24,4.4,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"15","ANN01",2004-05-12,"UMCA","C","841","Alive",22.75,64,25.4,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
"16","ANN01",2004-05-12,"UMCA","M","844","Alive",10,0,10.7,532568,4255157,274.5,274.5,295.4,505,23,3,3,74,81,32.6100006103516,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0,0.530320814,0.08900626,0.040101721,0.296165884,0.747359155,0.852895149,0.441314554,0.567977308,0.306044601,0.045872457,0.193270736,0.105535994,0.094190141,0.035113459,0.007237872,0,10.67246772,14.7891079812207,7.19957746478873
