"","plotid","Date","species","cluster","tag","status","stemestdbh","stemslc","stemdbh2012","X","Y","dbh04","dbh05","dbh12","slc10","umcact10","osSR11","usSR11","cover11","rdays2010","amou2010","rsAvgPrec","rsTotPrec","rsAvgTmin","rsAvgTmax","slope","aspect","elev","tmi","psiAvg","d2c","rs10pBelow0","rs10pBelow10","rs10pBelow5","rs10pBelow4","rs10pBelow8","rs10p5_15","rs10p5_20","rs10p5_10","rs10p8_16","rs10p20_25","rs10p14_26","rs10p15_20","rs10pAbove18","rs10pAbove22","rs10pAbove26","rs10pAbove30","rs10p10_15","rs10avgTemp","rs10avgTmax","rs10avgTmin"
"1","ANN01",2010-04-30,"UMCA","J","4540","Alive",2,98,3.3,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"2","ANN01",2010-04-30,"UMCA","C","4541","Alive",2.5,72,2.5,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"3","ANN01",2010-04-30,"UMCA","V","807","Alive",20.5,0,21.9,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"4","ANN01",2010-04-30,"UMCA","O","809","Alive",1.75,45,1.5,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"5","ANN01",2010-04-30,"UMCA","O","812","Alive",11,34,11.2,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"6","ANN01",2010-04-30,"UMCA","A","814","Alive",1.75,19,2.2,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"7","ANN01",2010-04-30,"UMCA","Q","815","Alive",9.5,43,10,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"8","ANN01",2010-04-30,"UMCA","L","816","Alive",1.25,146,2.8,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"9","ANN01",2010-04-30,"UMCA","K","822","Alive",22.5,74,24.7,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
"10","ANN01",2010-04-30,"UMCA","H","826","Alive",10.75,105,6.6,532568,4255157,274.5,274.5,295.4,1218,24,4,11,38,80,28.5599994659424,133.392246428571,933.745725,4.59722871428571,17.9811472857143,35.5944718193984,72.7721215465241,200.268310546875,5.13485888955694,3892.9716796875,35783.578578,0.003897742,0.626733922,0.094462914,0.052734151,0.370629371,0.815889029,0.886392296,0.532271008,0.558294165,0.01914479,0.119798235,0.070503267,0.039092055,0.007680844,0,0.003897742,0.283618021,9.486458787,13.3055188679245,6.25990566037736
