"","plotid","Date","species","cluster","tag","status","stemestdbh","stemslc","stemdbh2012"
"1","ANN01",2010-04-30,"UMCA","J","4540","Alive",2,98,3.3
"2","ANN01",2010-04-30,"UMCA","C","4541","Alive",2.5,72,2.5
"3","ANN01",2010-04-30,"UMCA","V","807","Alive",20.5,0,21.9
"4","ANN01",2010-04-30,"UMCA","O","809","Alive",1.75,45,1.5
"5","ANN01",2010-04-30,"UMCA","O","812","Alive",11,34,11.2
"6","ANN01",2010-04-30,"UMCA","A","814","Alive",1.75,19,2.2
"7","ANN01",2010-04-30,"UMCA","Q","815","Alive",9.5,43,10
"8","ANN01",2010-04-30,"UMCA","L","816","Alive",1.25,146,2.8
"9","ANN01",2010-04-30,"UMCA","K","822","Alive",22.5,74,24.7
"10","ANN01",2010-04-30,"UMCA","H","826","Alive",10.75,105,6.6
"11","ANN01",2010-04-30,"UMCA","R","827","Dead",10.5,-9999,NA
"12","ANN01",2010-04-30,"UMCA","I","828","Alive",17,32,16.3
"13","ANN01",2010-04-30,"UMCA","","831","X- Stem Missing",7,-9999,NA
"14","ANN01",2010-04-30,"UMCA","R","832","Alive",11,58,11.9
"15","ANN01",2010-04-30,"UMCA","U","834","Alive",17,32,18.9
"16","ANN01",2010-04-30,"UMCA","I","836","Alive",6.5,2,10.6
"17","ANN01",2010-04-30,"UMCA","G","838","Alive",3.5,24,4.4
"18","ANN01",2010-04-30,"UMCA","C","841","Alive",22.75,59,25.4
"19","ANN01",2010-04-30,"UMCA","M","844","Alive",10,49,10.7
"20","ANN01",2010-04-30,"UMCA","D","862","Alive",12,43,12.4
"21","ANN01",2010-04-30,"UMCA","Q","875","Alive",24,50,25.8
"22","ANN01",2010-04-30,"UMCA","N","879","Alive",7,41,8.2
"23","ANN01",2010-04-30,"UMCA","E","884","Alive",9.25,74,6.4
"24","ANN01",2010-04-30,"UMCA","S","887","Alive",16,21,18
"25","ANN01",2010-04-30,"UMCA","F","889","Alive",13.5,54,14.2
"26","ANN01",2010-04-30,"UMCA","J","900","Alive",13.25,43,13.7
"27","ANN02",2010-04-30,"UMCA","A","227","Alive",20,61,NA
"28","ANN02",2010-04-30,"UMCA","H","354","Alive",12.5,18,14.3
"29","ANN02",2010-04-30,"UMCA","E","501","Alive",16.5,26,19.4
"30","ANN02",2010-04-30,"UMCA","I","531","Alive",11.5,70,11.3
"31","ANN02",2010-04-30,"UMCA","B","534","Alive",9,120,10.6
"32","ANN02",2010-04-30,"UMCA","D","535","Alive",14,92,13.6
"33","ANN02",2010-04-30,"UMCA","C","545","Alive",15.5,12,15.8
"34","ANN02",2010-04-30,"UMCA","G","559","Alive",19,2,21.6
"35","ANN02",2010-04-30,"UMCA","H","560","Alive",9.75,93,9.9
"36","ANN02",2010-04-30,"UMCA","F","599","Alive",15.25,54,16
"37","ANN02",2010-04-30,"UMCA","F","640","Alive",13,18,12.7
"38","ANN03",2010-04-26,"UMCA","Q","3177","Alive",6.099999905,89,8.1
"39","ANN03",2010-04-26,"UMCA","Q","3178","Alive",23.39999962,43,3.6
"40","ANN03",2010-04-26,"UMCA","Q","3179","Alive",17.70000076,50,3.8
"41","ANN03",2010-04-26,"UMCA","T","3180","Alive",22.39999962,8,24.4
"42","ANN03",2010-04-26,"UMCA","Z","524","Alive",4,117,4.7
"43","ANN03",2010-04-26,"UMCA","K","537","Alive",13,22,12.9
