"PlotID","Date","VegTransectID","PtNum","OverstorySp","PercentCoverage","UnderstorySp"
"ANN01",8/13/2003 0:00:00,1,1.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,1.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,1.00,"TODI",,
"ANN01",8/13/2003 0:00:00,1,2.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,2.00,"TODI",,
"ANN01",8/13/2003 0:00:00,1,3.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,3.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,3.00,"TODI",,
"ANN01",8/13/2003 0:00:00,1,4.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,4.00,"TODI",,
"ANN01",8/13/2003 0:00:00,1,5.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,5.00,"TODI",,
"ANN01",8/13/2003 0:00:00,1,6.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,7.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,8.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,8.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,9.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,9.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,10.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,10.00,"PSmE",,
"ANN01",8/13/2003 0:00:00,1,11.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,11.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,12.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,12.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,13.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,13.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,14.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,14.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,15.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,15.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,16.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,16.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,17.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,17.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,18.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,19.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,19.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,20.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,20.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,21.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,21.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,22.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,22.00,"PSME",,
"ANN01",8/13/2003 0:00:00,1,23.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,1,23.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,1.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,2.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,3.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,4.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,5.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,6.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,7.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,7.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,8.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,8.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,9.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,9.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,10.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,10.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,11.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,11.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,12.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,12.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,13.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,13.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,14.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,14.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,15.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,15.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,16.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,16.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,17.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,17.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,18.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,18.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,19.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,19.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,20.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,20.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,21.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,21.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,22.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,22.00,"PSME",,
"ANN01",8/13/2003 0:00:00,2,23.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,2,23.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,1.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,2.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,2.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,3.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,4.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,4.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,5.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,5.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,6.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,6.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,7.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,7.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,8.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,8.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,9.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,9.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,10.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,10.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,11.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,11.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,12.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,12.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,13.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,13.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,14.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,14.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,15.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,15.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,16.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,16.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,17.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,17.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,18.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,18.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,19.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,19.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,20.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,20.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,21.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,21.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,22.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,22.00,"PSME",,
"ANN01",8/13/2003 0:00:00,3,23.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,3,23.00,"PSME",,
"ANN01",8/13/2003 0:00:00,4,1.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,4,1.00,"PSME",,
"ANN01",8/13/2003 0:00:00,4,2.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,4,2.00,"PSME",,
"ANN01",8/13/2003 0:00:00,4,3.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,4,3.00,"PSME",,
"ANN01",8/13/2003 0:00:00,4,4.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,4,4.00,"PSME",,
"ANN01",8/13/2003 0:00:00,4,5.00,"UMCA",,
"ANN01",8/13/2003 0:00:00,4,7.00,"UMCA",,
