"","plot","year","tag","status","LIDE","QUAG","QUAG x QUWI","QUCH","QUKE","QUKE X QUAG","QUWI","UMCA","Unknown sp."
"1","ANN01",2004,"807","Alive",NA,NA,NA,NA,NA,NA,NA,20.5,NA
"2","ANN01",2004,"809","Alive",NA,NA,NA,NA,NA,NA,NA,1.75,NA
"3","ANN01",2004,"812","Alive",NA,NA,NA,NA,NA,NA,NA,11,NA
"4","ANN01",2004,"814","Alive",NA,NA,NA,NA,NA,NA,NA,1.75,NA
"5","ANN01",2004,"815","Alive",NA,NA,NA,NA,NA,NA,NA,9.5,NA
"6","ANN01",2004,"816","Alive",NA,NA,NA,NA,NA,NA,NA,1.25,NA
"7","ANN01",2004,"822","Alive",NA,NA,NA,NA,NA,NA,NA,22.5,NA
"8","ANN01",2004,"826","Alive",NA,NA,NA,NA,NA,NA,NA,10.75,NA
"9","ANN01",2004,"827","Alive",NA,NA,NA,NA,NA,NA,NA,10.5,NA
"10","ANN01",2004,"828","Alive",NA,NA,NA,NA,NA,NA,NA,17,NA
"11","ANN01",2004,"831","Dead",NA,NA,NA,NA,NA,NA,NA,7,NA
"12","ANN01",2004,"832","Alive",NA,NA,NA,NA,NA,NA,NA,11,NA
"13","ANN01",2004,"834","Alive",NA,NA,NA,NA,NA,NA,NA,17,NA
"14","ANN01",2004,"836","Alive",NA,NA,NA,NA,NA,NA,NA,6.5,NA
"15","ANN01",2004,"838","Alive",NA,NA,NA,NA,NA,NA,NA,3.5,NA
"16","ANN01",2004,"841","Alive",NA,NA,NA,NA,NA,NA,NA,22.75,NA
"17","ANN01",2004,"844","Alive",NA,NA,NA,NA,NA,NA,NA,10,NA
"18","ANN01",2004,"862","Alive",NA,NA,NA,NA,NA,NA,NA,12,NA
"19","ANN01",2004,"875","Alive",NA,NA,NA,NA,NA,NA,NA,24,NA
"20","ANN01",2004,"879","Alive",NA,NA,NA,NA,NA,NA,NA,7,NA
"21","ANN01",2004,"884","Alive",NA,NA,NA,NA,NA,NA,NA,9.25,NA
"22","ANN01",2004,"887","Alive",NA,NA,NA,NA,NA,NA,NA,16,NA
"23","ANN01",2004,"889","Alive",NA,NA,NA,NA,NA,NA,NA,13.5,NA
"24","ANN01",2004,"900","Alive",NA,NA,NA,NA,NA,NA,NA,13.25,NA
"25","ANN01",2006,"4540","Alive",NA,NA,NA,NA,NA,NA,NA,2,NA
"26","ANN01",2006,"4541","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"27","ANN01",2012,"1984","Alive",NA,NA,NA,NA,NA,NA,NA,3.8,NA
"28","ANN01",2012,"4540","Alive",NA,NA,NA,NA,NA,NA,NA,3.3,NA
"29","ANN01",2012,"4541","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"30","ANN01",2012,"807","Alive",NA,NA,NA,NA,NA,NA,NA,21.9,NA
"31","ANN01",2012,"809","Alive",NA,NA,NA,NA,NA,NA,NA,1.5,NA
"32","ANN01",2012,"812","Alive",NA,NA,NA,NA,NA,NA,NA,11.2,NA
"33","ANN01",2012,"814","Alive",NA,NA,NA,NA,NA,NA,NA,2.2,NA
"34","ANN01",2012,"815","Alive",NA,NA,NA,NA,NA,NA,NA,10,NA
"35","ANN01",2012,"816","Alive",NA,NA,NA,NA,NA,NA,NA,2.8,NA
"36","ANN01",2012,"822","Alive",NA,NA,NA,NA,NA,NA,NA,24.7,NA
"37","ANN01",2012,"826","Alive",NA,NA,NA,NA,NA,NA,NA,6.6,NA
"38","ANN01",2012,"827","Alive",NA,NA,NA,NA,NA,NA,NA,9.5,NA
"39","ANN01",2012,"828","Alive",NA,NA,NA,NA,NA,NA,NA,16.3,NA
"40","ANN01",2012,"832","Alive",NA,NA,NA,NA,NA,NA,NA,11.9,NA
