"","plot","Date","cluster","tag","species","status","alive_class","dead_class","slc","canker","dbh","lide_lf_symp","sod_dead","location","notes","year"
"1","FOP04","4/8/2014 0:00:00",12,"173","UMCA","Alive",1,NA,20,0,41.7,0,0,"In","HC",2014
"2","FOP04","4/8/2014 0:00:00",8,"209","UMCA","Alive",1,NA,64,0,35.6,0,0,"In","",2014
"3","FOP04","4/8/2014 0:00:00",18,"4833","UMCA","Alive",1,NA,30,0,3.5,0,0,"Out","",2014
"4","FOP04","4/8/2014 0:00:00",17,"4486","UMCA","Alive",1,NA,17,0,29.4,0,0,"In","HC",2014
"5","FOP04","4/8/2014 0:00:00",16,"4487","UMCA","Alive",1,NA,5,0,26,0,0,"Out","",2014
"6","FOP04","4/8/2014 0:00:00",15,"4411","UMCA","Alive",1,NA,12,0,30.6,0,0,"Out","rooted well out of plot, growing horizontal",2014
"7","FOP04","4/8/2014 0:00:00",14,"4409","UMCA","Alive",1,NA,11,0,33.7,0,0,"In","HC",2014
"8","FOP04","4/8/2014 0:00:00",13,"175","UMCA","Alive",1,NA,20,0,21.4,0,0,"In","HC",2014
"9","FOP04","4/8/2014 0:00:00",12,"4485","UMCA","Alive",1,NA,1,0,41.1,0,0,"In","HC",2014
"10","FOP04","4/8/2014 0:00:00",12,"178","UMCA","Alive",1,NA,0,0,32.5,0,0,"In","HC",2014
"11","FOP04","4/8/2014 0:00:00",19,"4834","UMCA","Alive",1,NA,32,0,17.4,0,0,"Out","",2014
"12","FOP04","4/8/2014 0:00:00",5,"174","UMCA","Alive",1,NA,20,0,10.5,0,0,"In","",2014
"13","FOP04","4/8/2014 0:00:00",2,"184","UMCA","Alive",1,NA,58,0,17,0,0,"In","",2014
"14","FOP04","4/8/2014 0:00:00",2,"202","UMCA","Alive",1,NA,74,0,25,0,0,"In","one low branch",2014
"15","FOP04","4/8/2014 0:00:00",9,"168","UMCA","Alive",1,NA,12,0,18.9,0,0,"In","HC",2014
"16","FOP04","4/8/2014 0:00:00",11,"172","UMCA","Alive",1,NA,25,0,27,0,0,"Out","",2014
"17","FOP04","4/8/2014 0:00:00",1,"182","UMCA","Alive",1,NA,25,0,16.8,0,0,"Out","HC",2014
"18","FOP04","4/8/2014 0:00:00",4,"211","UMCA","Alive",1,NA,12,0,18.3,0,0,"Out","",2014
"19","FOP04","4/8/2014 0:00:00",6,"176","UMCA","Alive",1,NA,38,0,25.6,0,0,"Out","",2014
"20","FOP04","4/8/2014 0:00:00",7,"169","UMCA","Alive",1,NA,27,0,27.5,0,0,"Out","",2014
"21","FOP04","4/8/2014 0:00:00",8,"4484","UMCA","Alive",1,NA,16,0,39.8,0,0,"In","HC",2014
"22","FOP04","4/8/2014 0:00:00",9,"4483","UMCA","Alive",1,NA,2,0,36.2,0,0,"In","HC",2014
"23","FOP04","4/8/2014 0:00:00",10,"177","UMCA","Alive",1,NA,16,0,19.5,0,0,"Out","",2014
"24","FOP04","4/8/2014 0:00:00",3,"213","UMCA","Alive",1,NA,30,0,10.9,0,0,"In","",2014
"25","FOP324","4/7/2014 0:00:00",18,"4022","UMCA","Alive",1,NA,19,0,8.4,0,0,"In","HC",2014
"26","FOP324","4/7/2014 0:00:00",16,"161","UMCA","Alive",1,NA,7,0,17,0,0,"In","HC",2014
"27","FOP324","4/7/2014 0:00:00",16,"166","UMCA","X- Stem Missing",NA,NA,NA,0,NA,0,0,"In","",2014
"28","FOP324","4/7/2014 0:00:00",17,"151","UMCA","X- Stem Missing",NA,NA,NA,0,NA,0,0,"In","believed removed by PG&E",2014
"29","FOP324","4/7/2014 0:00:00",17,"4023","UMCA","X- Stem Missing",NA,NA,NA,0,NA,0,0,"In","believed removed by PG&E",2014
"30","FOP324","4/7/2014 0:00:00",18,"158","UMCA","Alive",1,NA,67,0,17.6,0,0,"In","",2014
"31","FOP324","4/7/2014 0:00:00",18,"159","UMCA","Alive",1,NA,26,0,16.6,0,0,"In","HC",2014
"32","FOP324","4/7/2014 0:00:00",18,"164","UMCA","Alive",1,NA,50,0,18.2,0,0,"In","",2014
"33","FOP324","4/7/2014 0:00:00",20,"4024","UMCA","Alive",1,NA,26,0,2,0,0,"In","",2014
"34","FOP324","4/7/2014 0:00:00",18,"4021","UMCA","Alive",2,NA,7,0,16.3,0,0,"In","HC",2014
"35","FOP324","4/7/2014 0:00:00",19,"157","UMCA","Alive",1,NA,37,0,20.3,0,0,"Out","",2014
"36","FOP324","4/7/2014 0:00:00",16,"156","UMCA","Alive",1,NA,9,0,16,0,0,"In","HC",2014
"37","FOP324","4/7/2014 0:00:00",17,"150","UMCA","Alive",1,NA,18,0,18.5,0,0,"In","",2014
"38","FOP324","4/7/2014 0:00:00",18,"167","UMCA","Alive",1,NA,14,0,15.8,0,0,"In","HC",2014
"39","FOP324","4/7/2014 0:00:00",15,"149","UMCA","Alive",1,NA,75,0,20.2,0,0,"In","",2014
"40","FOP324","4/7/2014 0:00:00",17,"155","UMCA","X- Stem Missing",NA,NA,NA,0,NA,0,0,"In","believed removed by PG&E",2014
"41","FOP324","4/7/2014 0:00:00",12,"148","UMCA","Alive",1,NA,55,0,20.5,0,0,"In","",2014
"42","FOP324","4/7/2014 0:00:00",9,"144","UMCA","Alive",1,NA,36,0,11.7,0,0,"In","",2014
"43","FOP324","4/7/2014 0:00:00",11,"139","UMCA","Alive",1,NA,17,0,11.6,0,0,"Out","",2014
"44","FOP324","4/7/2014 0:00:00",9,"143","UMCA","Alive",1,NA,27,0,12.9,0,0,"In","",2014
"45","FOP324","4/7/2014 0:00:00",10,"135","UMCA","Alive",1,NA,46,0,27.6,0,0,"Out","",2014
"46","FOP324","4/7/2014 0:00:00",12,"146","UMCA","Alive",1,NA,11,0,47.5,0,0,"In","HC",2014
"47","FOP324","4/7/2014 0:00:00",14,"147","UMCA","X- Stem Missing",NA,NA,NA,0,NA,0,0,"In","missing since 2010",2014
"48","FOP324","4/7/2014 0:00:00",13,"133","UMCA","Alive",1,NA,12,0,19.5,0,0,"In","HC",2014
"49","FOP324","4/7/2014 0:00:00",5,"136","UMCA","Alive",1,NA,47,0,10.5,0,0,"Out","",2014
"50","FOP324","4/7/2014 0:00:00",9,"138","UMCA","Alive",1,NA,17,0,16.5,0,0,"In","HC",2014
"51","FOP324","4/7/2014 0:00:00",13,"2891","UMCA","Alive",1,NA,31,0,11,0,0,"In","",2014
"52","FOP324","4/7/2014 0:00:00",2,"121","UMCA","Alive",1,NA,51,0,20.7,0,0,"Out","HC",2014
"53","FOP324","4/7/2014 0:00:00",6,"134","UMCA","Alive",1,NA,48,0,19.6,0,0,"Out","",2014
"54","FOP324","4/7/2014 0:00:00",7,"145","UMCA","Alive",1,NA,59,0,8,0,0,"Out","",2014
"55","FOP324","4/7/2014 0:00:00",3,"141","UMCA","Alive",1,NA,27,0,16.3,0,0,"Out","",2014
"56","FOP324","4/7/2014 0:00:00",1,"132","UMCA","Alive",1,NA,45,0,18,0,0,"In","",2014
"57","FOP324","4/7/2014 0:00:00",8,"140","UMCA","Alive",1,NA,23,0,22.5,0,0,"In","",2014
"58","FOP324","4/7/2014 0:00:00",4,"137","UMCA","Alive",1,NA,21,0,7.8,0,0,"Out","",2014
"59","FOP324","4/7/2014 0:00:00",1,"1001","QUAG","Dead",NA,4,NA,0,64.3,0,0,"In","S",2014
"60","FOP324","4/7/2014 0:00:00",2,"1002","QUAG","Alive",2,NA,NA,0,11.6,0,0,"In","SP",2014
"61","FOP333","4/22/2014 0:00:00",1,"2445","UMCA","Alive",1,NA,5,0,19.2,0,0,"In","HC",2014
"62","FOP333","4/22/2014 0:00:00",1,"201","UMCA","Alive",1,NA,10,0,24.2,0,0,"In","HC",2014
"63","FOP333","4/22/2014 0:00:00",12,"2437","UMCA","Alive",1,NA,4,0,15.9,0,0,"In","HC",2014
"64","FOP333","4/22/2014 0:00:00",12,"2804","UMCA","Alive",1,NA,9,0,15.8,0,0,"In","",2014
"65","FOP333","4/22/2014 0:00:00",10,"2889","UMCA","Alive",1,NA,17,0,17.9,0,0,"Out","HC",2014
"66","FOP333","4/22/2014 0:00:00",1,"2807","UMCA","Alive",1,NA,3,0,28.2,0,0,"In","HC",2014
"67","FOP333","4/22/2014 0:00:00",5,"160","UMCA","Alive",1,NA,17,0,25.1,0,0,"In","",2014
"68","FOP333","4/22/2014 0:00:00",5,"162","UMCA","Dead",NA,2,NA,0,7.1,0,0,"In","",2014
"69","FOP333","4/22/2014 0:00:00",3,"5895","QUAG","Alive",2,NA,NA,0,20.5,0,0,"In","SP",2014
"70","FOP333","4/22/2014 0:00:00",2,"1007","QUAG","Alive",1,NA,NA,0,28.9,0,0,"In","",2014
"71","FOP333","4/22/2014 0:00:00",2,"1006","QUAG","Alive",2,NA,NA,0,15,0,0,"In","",2014
"72","FOP333","4/22/2014 0:00:00",2,"1005","QUAG","Alive",1,NA,NA,0,29.2,0,0,"In","",2014
"73","FOP333","4/22/2014 0:00:00",2,"1004","QUAG","Alive",2,NA,NA,0,26,0,0,"In","",2014
"74","FOP333","4/22/2014 0:00:00",7,"5884","UMCA","Alive",1,NA,175,0,4.9,0,0,"In","",2014
"75","FOP333","4/22/2014 0:00:00",7,"187","UMCA","Alive",1,NA,134,0,20.6,0,0,"In","",2014
"76","FOP333","4/22/2014 0:00:00",6,"215","UMCA","Alive",3,NA,32,0,8,0,0,"In","DG, SP, SLC on sprouts",2014
"77","FOP333","4/22/2014 0:00:00",7,"2434","UMCA","Alive",1,NA,40,0,27.5,0,0,"In","HC",2014
"78","FOP333","4/22/2014 0:00:00",7,"2439","UMCA","Alive",1,NA,24,0,14.6,0,0,"In","HC",2014
"79","FOP333","4/22/2014 0:00:00",5,"2894","UMCA","Alive",1,NA,0,0,14.2,0,0,"In","HC",2014
"80","FOP333","4/22/2014 0:00:00",7,"2440","UMCA","Alive",1,NA,9,0,24.1,0,0,"In","HC",2014
"81","FOP333","4/22/2014 0:00:00",7,"2442","UMCA","Alive",1,NA,94,0,18.7,0,0,"In","",2014
"82","FOP333","4/22/2014 0:00:00",5,"2890","UMCA","Alive",1,NA,1,0,24.5,0,0,"In","HC",2014
